name_film,oscar,release,length,genre,historic,war,true_story,biographical,bait_score,winner
The Zone of Interest,96rd,Dezember,105,Drama,1,2,1,2,2,2
Poor Things,96rd,Dezember,141,Dunkle Komödie,2,2,2,2,0,2
Past Lives,96rd,Juni,105,Drama,2,2,1,2,1,2
Maestro,96rd,November,129,Drama,2,2,1,1,2,2
Killers of the Flower Moon,96rd,Oktober,206,Epos,1,2,1,2,2,2
The Holdovers,96rd,Oktober,133,Komödie,2,2,2,2,0,2
Barbie,96rd,Juli,114,Komödie,2,2,2,2,0,2
Anatomy of a Fall,96rd,August,152,Drama,2,2,2,2,0,2
American Fiction,96rd,Dezember,117,Dunkle Komödie,2,2,2,2,0,2
Oppenheimer,96rd,Juli,180,Drama,1,2,1,1,3,1
Women Talking,95rd,Dezember,104,Drama,2,2,1,2,1,2
Triangle of Sadness,95rd,Oktober,147,Dunkle Komödie,2,2,2,2,0,2
Top Gun: Maverick,95rd,Mai,131,Action,2,1,2,2,1,2
Tár,95rd,Oktober,158,Drama,2,2,2,2,0,2
The Fablemans,95rd,November,151,Coming-of-Age,2,2,1,2,1,2
Elvis,95rd,Juni,159,Drama,2,2,1,1,2,2
The Banshees of Inisherin,95rd,Oktober,114,Dunkle Komödie,1,1,2,2,2,2
Avater: The Way of Water,95rd,Dezember,192,Science-Fiction,2,2,2,2,0,2
All quiet on the Western Front,95rd,Oktober,147,Epos,1,1,2,2,2,2
Everything Everywhere All at Once,95rd,März,139,Komödie,2,2,2,2,0,1
West Side Story,94rd,Dezember,156,Musical,2,2,2,2,0,2
The Power of the Dog,94rd,November,126,Drama,1,2,2,2,1,2
Nightmare Alley,94rd,Dezember,150,Thriller,1,2,2,2,1,2
Licorice Pizza,94rd,November,133,Coming-of-Age,2,2,2,2,0,2
King Richard,94rd,November,145,Drama,2,2,1,1,2,2
Dune,94rd,Oktober,155,Science-Fiction,2,1,2,2,1,2
Drive My Car,94rd,August,179,Drama,2,2,2,2,0,2
Dont Look Up,94rd,Dezember,138,Dunkle Komödie,2,2,2,2,0,2
Belfast,94rd,Januar AS,97,Coming-of-Age,1,2,2,2,1,2
CODA,94rd,August,111,Coming-of-Age,2,2,2,2,0,1
The Trial of the Chicago 7,93rd,September,130,Drama,1,2,1,2,2,2
Sound of Metal,93rd,November,120,Drama,2,2,2,2,0,2
Promising Young Woman,93rd,Dezember,114,Thriller,2,2,2,2,0,2
Minari,93rd,Dezember,115,Drama,1,2,1,2,2,2
Mank,93rd,November,131,Drama,1,2,1,1,3,2
Judas and the black Massiah,93rd,Februar,126,Drama,1,2,1,1,3,2
The Father,93rd,Juni,97,Drama,2,2,2,2,0,2
Nomadland,93rd,Februar AS,108,Drama,2,2,1,2,1,1
